date,Barcelona,Madrid,Malaga,Sevilla,Valencia,Tenerife,Gran Canaria,Palma de Mallorca
12/31/2021,9.16,11.56,0,3.24,8.36,14.96,10.92,1.52
1/31/2022,13.551999999999998,17.072,2.3760000000000003,7.256,11.56,21.912,19.288,6.104
2/28/2022,16.72,21.62,2.91,11.6,16.59,21.39,16.73,11.39
3/31/2022,19.09,21.68,4.279999999999999,13.469999999999999,17.11,19.05,16.25,13.86
4/30/2022,21.88,23.52,4.58,13.27,17.57,19.35,14.07,15.23
5/31/2022,21.84,22.992,5.432,11.992,18.407999999999998,18.184,14.936000000000002,18.368000000000002
6/30/2022,21.48,20.52,5.09,7.92,19.990000000000002,18.3,15.07,17.71
7/31/2022,19.631999999999998,20.456,7.4,8.632,17.759999999999998,17.896,14.096,15.847999999999999
8/31/2022,18.23,18.75,4,8.299999999999999,15,17.8,15.24,13.79
9/30/2022,17.53,19.55,2.4,9.51,11.01,15.69,12.97,11.059999999999999
10/31/2022,14.319999999999999,18.24,2.9680000000000004,7.672,9.984,14.152000000000001,11.088,5.536
11/30/2022,11.6,15.93,1.44,6.1899999999999995,8.379999999999999,12.7,10.59,2.85
12/31/2022,12.870000000000001,16.02,0.91,6.2,9.66,14.06,10.43,1.96
1/31/2023,17.768,21.768,2.232,11.232,14.712,21.528,18.288,9.752
2/28/2023,17.66,20.23,2.83,10.62,15.85,15.860000000000001,12.04,10.64
3/31/2023,18.62,19.93,3.18,9.07,16.52,15.940000000000001,13.81,11.56
4/30/2023,18.032,20.416,3.048,10.344,16.64,14.488,11.575999999999999,13.336000000000002
5/31/2023,17.91,19.18,2.29,7.32,16.04,13.43,11.27,12.02
6/30/2023,17.67,17.87,2.65,6.97,15.84,14.61,13.15,13.45
7/31/2023,18.128,17.584,4.536,6.952,17.296,14.768,13.24,13.12
8/31/2023,17.16,18.259999999999998,3.02,9.35,14.24,15.36,12.48,10.6
9/30/2023,15.379999999999999,20.28,3.52,9.04,12.93,13.14,11.92,7.04
10/31/2023,12.912,16.512,2.6799999999999997,7.808,10.208,13.863999999999999,12.648,5.464
11/30/2023,11.51,15.23,1.53,8.200000000000001,7.36,13.44,11.42,3.23
12/31/2023,11.8,14.584,1.248,5.792,9.751999999999999,12.904,10.68,5.44
1/31/2024,15.850000000000001,22.1,1.79,11.43,15.129999999999999,20.17,18.52,8.28
2/29/2024,15.86,19.560000000000002,0.63,10.959999999999999,14.6,15.719999999999999,15.77,9.17
3/31/2024,17.96,18.919999999999998,2.144,9.48,15.88,14.280000000000001,10.416,10.888
4/30/2024,17.91,19.68,1.99,7,16.1,13.64,9.51,11.96
5/31/2024,17.46,20.39,2.5100000000000002,6.57,15.120000000000001,13.14,9.55,12.54
6/30/2024,17.216,18.704,2.392,8.248000000000001,15.24,12.592,9.959999999999999,13.504
7/31/2024,19.81,18.4,2.67,5.16,15.31,14.46,10.91,12.6
8/31/2024,15.57,18.48,1.85,7.08,13.58,12.78,11.58,10.56
9/30/2024,13.952000000000002,19.872,4.704,9.528,13.744,13.687999999999999,10.936,7.744
10/31/2024,12.29,16.1,0.31,7.34,11.67,12.32,9.98,3.3200000000000003
11/30/2024,10.91,15.23,0.5800000000000001,4.65,7.84,11.19,8.54,2.6900000000000004
12/31/2024,11.16,14.663999999999998,0.256,5.5520000000000005,5.848,11.248,9.768,2.544
1/31/2025,15.06,21.240000000000002,1.43,8.96,12.33,17.43,13.86,7.8
2/28/2025,14.2,19.39,2.0999999999999996,7.7700000000000005,12.3,13.71,9.77,7.79
3/31/2025,15.447999999999999,17.496000000000002,0.5279999999999999,9.464,12.344,12.104,9.424,9.192
4/30/2025,14.18,18.83,3.1999999999999997,4.39,13.25,10.1,7.1899999999999995,9.26
5/31/2025,16.04,18.24,2.9000000000000004,5.699999999999999,12.38,10.97,7.28,10.91
6/30/2025,16.416,18.496,2.5279999999999996,5.888,13.703999999999999,12.16,9.872,12.872
7/31/2025,16.893333333333334,20.546666666666667,5.533333333333334,10.106666666666667,15.093333333333334,13.4,12.4,13.200000000000001
