descripcion_sencilla,negativo,neutro,positivo
"Día cielo con intervalos, cálido, sin lluvia",12305,77370,35436
"Día cielo con intervalos, cálido, viento moderado, sin lluvia",34,226,19
"Día cielo con intervalos, fresco y agradable, sin lluvia",12047,45619,38959
"Día cielo con intervalos, frío, sin lluvia",2819,5933,6048
"Día cielo con intervalos, muy caluroso, sin lluvia",53,147,602
"Día cielo con intervalos, sin lluvia",83,726,367
"Día cielo con intervalos, viento moderado, sin lluvia",1,56,3
"Día cielo nublado, cálido, sin lluvia",6400,8422,15759
"Día cielo nublado, fresco y agradable, sin lluvia",6830,12571,15197
"Día cielo nublado, frío, sin lluvia",856,1924,1651
"Día cielo nublado, sin lluvia",28,102,24
Día con lloviznas,47,253,132
"Día con lloviznas, cálido",1944,10246,5919
"Día con lloviznas, fresco y agradable",4332,14064,12782
"Día con lloviznas, frío",683,1645,879
"Día con lloviznas, muy caluroso",19,120,11
Día con lluvia intensa,0,54,3
"Día con lluvia intensa, cálido",778,2689,3333
"Día con lluvia intensa, fresco y agradable",2539,6506,6086
"Día con lluvia intensa, frío",584,1038,753
Día con lluvia moderada,20,125,76
"Día con lluvia moderada, cálido",2312,8248,6731
"Día con lluvia moderada, fresco y agradable",4606,16046,12728
"Día con lluvia moderada, frío",1259,2469,3011
"Día con lluvia moderada, muy caluroso",37,88,36
"Día soleado, cálido, sin lluvia",16075,81481,46365
"Día soleado, fresco y agradable, sin lluvia",8478,37509,30285
"Día soleado, frío, sin lluvia",1240,4335,3517
"Día soleado, muy caluroso, sin lluvia",3007,9612,7812
"Día soleado, sin lluvia",28,289,95
"Día, cálido, sin lluvia",79,146,797
"Día, fresco y agradable, sin lluvia",320,564,462
"Día, frío, sin lluvia",99,151,104
"Día, muy caluroso, sin lluvia",1,101,0
"Día, sin lluvia",382,3378,1075
